engine_number,cycle,setting_1,sensor_2,sensor_3,sensor_4,sensor_6,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
34,1,0.0009,642.66,1574.94,1402.56,21.61,554.68,2388.02,9071.43,47.21,522.54,2388.03,8149.93,8.3864,391,39.18,23.4691
34,2,-0.0018,641.89,1587.37,1399.22,21.61,554.82,2387.98,9072.49,47.23,521.87,2387.99,8146.81,8.3596,393,38.98,23.4814
34,3,0.0021,641.61,1580.34,1404.76,21.61,554.93,2388.04,9065.21,47.28,522.52,2388.0,8148.46,8.3811,391,39.17,23.3284
34,4,-0.0042,641.88,1592.14,1400.88,21.6,555.36,2388.03,9065.71,47.28,522.1,2387.99,8146.47,8.3657,391,39.05,23.4411
34,5,0.0017,641.87,1581.4,1405.83,21.61,555.31,2387.96,9071.81,47.2,522.03,2387.94,8146.16,8.3856,392,38.92,23.3387
34,6,0.0013,642.07,1581.22,1398.71,21.61,555.34,2388.03,9070.95,47.16,522.73,2388.03,8151.43,8.3655,390,38.91,23.4404
34,7,0.0018,641.71,1588.9,1399.99,21.61,554.51,2388.0,9065.04,47.22,522.45,2388.02,8144.4,8.3678,391,39.12,23.3932
34,8,-0.0,642.13,1586.75,1401.19,21.6,555.21,2387.96,9069.48,47.16,523.14,2387.98,8149.37,8.3844,392,39.11,23.5353
34,9,0.0016,642.13,1580.76,1393.43,21.61,554.99,2388.0,9068.36,47.02,522.27,2388.04,8150.77,8.3917,391,39.19,23.3313
34,10,-0.0008,642.14,1584.02,1390.2,21.61,554.75,2387.95,9064.18,47.12,522.66,2387.99,8144.91,8.3964,390,38.97,23.4784
34,11,-0.004,642.89,1587.49,1398.78,21.61,554.97,2388.02,9069.39,47.15,522.66,2388.01,8145.1,8.3782,392,39.01,23.4462
34,12,0.0012,642.03,1588.38,1391.44,21.61,554.72,2387.96,9055.08,47.11,522.27,2387.98,8144.81,8.3672,391,38.99,23.4348
34,13,0.0027,642.14,1580.63,1392.88,21.61,554.74,2388.03,9062.35,47.06,522.56,2388.0,8145.28,8.3972,391,39.05,23.3536
34,14,0.0007,642.36,1585.22,1387.15,21.61,555.46,2387.98,9065.35,47.14,522.44,2387.96,8150.05,8.3864,391,39.01,23.4348
34,15,-0.0005,641.62,1585.83,1399.45,21.61,554.08,2387.97,9068.32,47.07,523.04,2387.97,8145.67,8.4198,391,39.02,23.4723
34,16,0.0016,641.53,1587.84,1402.14,21.61,554.68,2388.03,9060.07,47.15,522.34,2387.95,8140.71,8.3635,392,39.11,23.3443
34,17,0.001,642.15,1585.88,1398.01,21.61,554.3,2387.98,9071.4,47.1,522.63,2388.01,8144.75,8.3861,392,38.98,23.3759
34,18,0.0016,642.37,1584.08,1394.23,21.61,555.38,2388.03,9065.2,47.41,522.53,2388.03,8143.84,8.4064,392,39.15,23.4562
34,19,0.0049,642.25,1584.44,1388.36,21.61,554.25,2387.98,9057.91,47.0,521.97,2387.89,8143.77,8.4145,392,39.04,23.4024
34,20,0.0008,641.95,1589.01,1406.55,21.61,554.6,2387.98,9070.25,47.43,522.58,2387.95,8145.14,8.3996,392,39.01,23.4278
34,21,0.0022,641.75,1581.61,1392.92,21.61,554.41,2387.99,9066.66,47.18,522.5,2388.02,8145.95,8.4201,391,39.16,23.3624
34,22,0.0,641.48,1588.27,1397.0,21.61,554.99,2387.94,9073.44,47.14,522.39,2387.99,8147.78,8.3824,391,39.08,23.4324
34,23,-0.0029,642.1,1586.2,1396.05,21.61,554.0,2388.02,9064.02,47.23,523.0,2387.92,8145.98,8.3976,392,39.01,23.4695
34,24,-0.0007,641.86,1589.65,1398.5,21.61,555.02,2387.99,9056.25,47.12,522.46,2387.94,8145.23,8.3761,392,39.06,23.3341
34,25,-0.0004,642.1,1583.9,1401.66,21.61,554.68,2387.95,9064.61,47.12,522.54,2387.91,8147.86,8.3628,392,39.07,23.4163
34,26,-0.0011,642.59,1586.31,1387.99,21.6,554.98,2387.97,9059.68,47.09,522.49,2387.94,8143.4,8.3868,392,39.29,23.4472
34,27,-0.002,641.61,1577.04,1398.76,21.61,554.63,2388.03,9068.84,47.15,522.24,2388.03,8149.28,8.418,391,39.1,23.4292
34,28,0.0033,642.05,1580.31,1393.92,21.61,554.64,2387.93,9071.15,47.14,522.71,2387.98,8151.37,8.3875,391,39.01,23.4333
34,29,0.0016,642.46,1588.65,1398.76,21.61,554.7,2388.06,9064.11,47.07,522.87,2387.97,8152.23,8.4016,392,39.01,23.4501
34,30,-0.0017,641.82,1587.58,1400.13,21.61,554.17,2388.0,9067.95,47.28,522.44,2387.97,8149.23,8.3907,392,39.09,23.5575
34,31,0.0024,642.04,1586.39,1395.93,21.61,554.73,2387.98,9067.04,47.06,522.57,2388.03,8153.03,8.4112,391,39.13,23.3258
34,32,-0.0004,642.14,1581.94,1399.2,21.61,554.81,2388.02,9064.15,47.19,522.33,2387.96,8145.74,8.3755,391,39.1,23.4081
34,33,-0.0031,642.3,1584.43,1394.72,21.61,554.34,2387.94,9051.82,47.11,522.44,2388.05,8148.42,8.4189,392,38.91,23.2896
34,34,0.002,642.56,1593.98,1396.84,21.6,554.84,2387.98,9063.55,47.16,522.52,2388.03,8145.82,8.4005,392,39.03,23.4062
34,35,0.0009,642.1,1577.95,1399.01,21.61,554.34,2387.97,9058.07,47.22,522.73,2388.03,8139.35,8.3995,391,39.14,23.4209
34,36,-0.0016,641.77,1582.94,1392.42,21.61,554.51,2388.03,9065.12,47.2,522.27,2387.97,8148.73,8.3887,390,39.05,23.3437
34,37,-0.0004,642.31,1580.47,1399.99,21.61,554.93,2387.97,9069.99,47.33,522.48,2388.0,8153.79,8.3669,390,39.27,23.4889
34,38,-0.0011,642.52,1575.85,1395.56,21.61,554.66,2388.02,9063.03,47.15,522.51,2387.96,8148.5,8.3822,392,38.9,23.4411
34,39,-0.002,642.35,1585.4,1396.47,21.61,553.87,2388.0,9070.25,47.32,522.86,2387.97,8150.71,8.4151,392,39.07,23.4529
34,40,0.0015,642.29,1590.01,1398.2,21.61,554.28,2387.97,9065.75,47.25,522.14,2387.95,8146.91,8.3707,393,38.81,23.4194
34,41,0.0014,641.79,1574.28,1399.86,21.61,555.0,2388.01,9061.06,47.13,522.06,2388.04,8152.24,8.4091,392,39.08,23.3173
34,42,-0.0002,642.12,1587.66,1396.79,21.61,554.44,2387.98,9060.8,47.13,522.49,2388.03,8144.67,8.3703,391,39.05,23.4857
34,43,0.0012,641.94,1577.81,1396.97,21.61,554.75,2388.0,9068.12,47.2,522.03,2387.93,8145.1,8.3909,392,38.92,23.3854
34,44,-0.0,642.16,1583.93,1390.69,21.61,554.79,2388.0,9063.31,47.22,523.01,2387.98,8148.79,8.3512,392,39.22,23.461
34,45,0.0041,642.64,1581.24,1393.81,21.6,554.42,2387.97,9072.09,47.08,522.57,2388.06,8145.47,8.3796,391,38.99,23.4678
34,46,0.0005,642.17,1583.89,1392.35,21.61,553.19,2388.03,9061.51,47.23,522.25,2388.02,8149.48,8.3705,391,39.08,23.3501
34,47,-0.0022,641.97,1578.39,1396.87,21.61,554.73,2388.02,9062.42,47.07,521.89,2388.0,8146.03,8.4326,393,39.1,23.3583
34,48,-0.0032,641.72,1587.73,1400.9,21.61,554.45,2387.97,9066.74,47.22,522.4,2388.01,8150.69,8.4183,391,38.96,23.4506
34,49,-0.001,642.26,1591.57,1404.43,21.6,555.0,2388.01,9066.69,47.18,522.28,2387.97,8146.22,8.3996,391,38.89,23.4316
34,50,0.0033,642.02,1583.12,1403.44,21.61,554.58,2388.05,9062.28,47.27,522.82,2388.04,8142.03,8.3937,392,39.06,23.398
34,51,0.0005,642.15,1578.49,1395.88,21.61,554.61,2387.96,9068.14,47.21,522.76,2387.98,8143.17,8.3931,392,39.17,23.431
34,52,0.0011,642.33,1583.84,1390.29,21.61,554.6,2387.99,9066.37,47.09,523.01,2388.01,8145.5,8.3496,389,38.89,23.4923
34,53,0.0007,642.47,1579.97,1391.42,21.61,553.97,2387.99,9067.05,47.28,522.21,2387.99,8148.97,8.4258,393,39.06,23.3804
34,54,0.005,642.31,1583.81,1394.84,21.6,554.98,2387.97,9059.31,47.1,521.97,2388.02,8152.17,8.3894,391,39.03,23.4289
34,55,0.001,642.13,1581.74,1404.44,21.61,554.4,2387.98,9071.78,47.15,522.57,2388.03,8146.85,8.4054,393,38.96,23.5011
34,56,0.0022,642.18,1590.3,1394.03,21.61,554.95,2388.01,9069.93,47.13,522.44,2387.98,8147.41,8.3575,391,39.08,23.3344
34,57,-0.0032,642.49,1582.44,1396.64,21.61,554.63,2388.04,9061.69,47.26,522.54,2388.06,8152.93,8.4083,392,38.97,23.5424
34,58,0.0002,642.44,1577.6,1397.84,21.61,553.9,2387.99,9065.55,47.22,522.55,2387.97,8150.46,8.4087,390,39.16,23.4349
34,59,0.0028,641.8,1587.16,1397.0,21.61,555.01,2388.02,9064.69,47.34,521.8,2388.01,8145.43,8.4092,393,38.96,23.4365
34,60,0.0012,642.06,1584.09,1404.09,21.61,554.75,2388.01,9069.48,47.27,521.86,2388.03,8145.54,8.4142,391,39.01,23.3689
34,61,0.0025,642.21,1584.46,1394.44,21.6,553.68,2388.07,9068.83,47.15,522.17,2387.9,8145.37,8.4051,391,39.02,23.3702
34,62,0.0011,641.86,1584.26,1403.58,21.61,554.27,2388.0,9067.78,47.22,522.21,2388.02,8153.97,8.4441,393,38.81,23.4238
34,63,-0.0025,642.21,1588.2,1391.89,21.61,554.79,2387.98,9068.05,47.05,522.49,2387.95,8149.75,8.3864,394,38.94,23.333
34,64,0.0003,642.39,1590.51,1397.1,21.61,554.81,2387.99,9067.56,47.17,522.34,2387.99,8144.88,8.405,392,38.93,23.3969
34,65,-0.0001,642.34,1584.28,1390.15,21.6,554.51,2388.02,9053.87,47.12,522.18,2387.99,8145.85,8.3903,391,38.99,23.4536
34,66,0.0015,642.46,1583.47,1397.95,21.61,554.23,2387.96,9060.79,47.14,522.42,2387.97,8149.32,8.3686,394,39.09,23.3615
34,67,-0.0054,642.32,1588.16,1409.21,21.61,554.99,2387.98,9064.05,47.23,522.23,2387.98,8145.86,8.3772,393,38.97,23.4035
34,68,0.0025,641.84,1579.21,1398.75,21.61,554.71,2388.01,9059.82,47.24,522.31,2387.98,8150.67,8.3839,391,38.87,23.416
34,69,-0.0036,642.25,1587.28,1398.38,21.6,554.32,2387.99,9065.4,47.22,522.52,2388.0,8142.82,8.4165,393,38.95,23.3626
34,70,0.0029,641.94,1590.56,1396.77,21.61,555.31,2387.98,9062.9,47.24,522.42,2388.0,8145.64,8.4101,393,38.98,23.2679
34,71,-0.0005,641.76,1589.14,1400.7,21.61,554.16,2388.0,9060.49,47.18,522.54,2387.98,8143.73,8.4218,393,39.09,23.3798
34,72,0.0003,642.08,1585.67,1398.71,21.61,554.23,2388.0,9067.85,47.11,522.36,2387.97,8150.38,8.3893,392,38.98,23.3805
34,73,0.0019,642.09,1584.92,1397.32,21.61,554.53,2388.02,9068.85,47.08,521.77,2388.03,8148.94,8.3948,391,38.93,23.4363
34,74,0.0029,642.12,1583.57,1398.62,21.61,554.89,2388.03,9065.77,47.22,522.83,2388.08,8146.65,8.4098,390,39.41,23.4746
34,75,0.0016,641.92,1581.87,1401.34,21.61,554.72,2388.02,9069.34,47.21,522.75,2387.99,8145.41,8.4145,391,39.02,23.4088
34,76,0.0002,642.01,1587.34,1399.39,21.61,554.38,2388.02,9059.81,47.34,522.52,2388.04,8148.05,8.3955,391,38.97,23.3769
34,77,-0.0036,642.45,1583.53,1405.09,21.61,555.14,2388.0,9070.73,47.18,522.44,2388.0,8148.27,8.4019,391,38.93,23.4944
34,78,-0.0037,641.94,1582.31,1393.67,21.61,554.54,2388.03,9064.84,47.26,522.42,2388.06,8141.47,8.4066,392,38.9,23.4638
34,79,0.0002,642.53,1586.93,1399.18,21.61,554.18,2387.99,9065.88,47.12,522.21,2388.02,8147.93,8.4143,391,39.09,23.3593
34,80,-0.0007,642.17,1585.58,1395.32,21.61,554.16,2387.98,9069.23,47.23,522.3,2387.98,8154.1,8.3868,393,39.09,23.3573
34,81,0.0019,642.32,1581.02,1401.27,21.61,554.46,2387.98,9065.95,47.23,522.59,2387.98,8143.2,8.4342,392,39.08,23.437
34,82,0.0057,642.33,1584.32,1400.84,21.6,554.09,2387.99,9061.81,47.32,522.39,2387.98,8137.14,8.3907,392,38.99,23.3729
34,83,0.0013,642.28,1578.52,1401.0,21.61,555.17,2388.0,9066.63,47.26,521.94,2387.99,8145.73,8.3885,391,38.96,23.4504
34,84,0.0028,642.34,1586.81,1393.55,21.61,554.89,2388.04,9062.86,47.2,522.26,2388.02,8141.69,8.3862,391,38.94,23.4128
34,85,-0.0018,642.31,1577.76,1397.2,21.61,554.61,2388.03,9072.31,47.19,522.33,2387.98,8147.69,8.406,393,38.87,23.2742
34,86,0.0029,642.34,1585.98,1400.82,21.61,554.64,2388.02,9059.15,47.37,523.06,2388.05,8143.92,8.3932,391,38.99,23.4805
34,87,0.0,642.01,1587.56,1392.47,21.61,554.72,2388.04,9061.0,47.24,522.29,2388.0,8143.3,8.3956,392,39.09,23.414
34,88,-0.001,641.84,1581.16,1398.33,21.61,554.44,2388.02,9066.98,47.38,522.74,2388.0,8146.14,8.4036,391,39.12,23.4173
34,89,0.0022,642.23,1586.59,1397.98,21.61,554.73,2387.99,9069.03,47.18,522.57,2388.03,8147.0,8.405,392,38.76,23.3828
