engine_number,cycle,setting_1,sensor_2,sensor_3,sensor_4,sensor_6,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
25,1,0.0022,642.28,1589.09,1396.65,21.61,553.68,2388.08,9050.99,47.54,522.14,2388.04,8135.76,8.4075,394,39.06,23.345
25,2,-0.0007,641.84,1584.65,1398.3,21.61,554.24,2388.07,9049.43,47.4,521.88,2388.1,8126.66,8.4098,391,38.84,23.3104
25,3,-0.0013,642.07,1585.7,1408.75,21.61,553.73,2388.08,9047.94,47.31,521.55,2388.05,8133.09,8.4065,391,38.91,23.3267
25,4,0.0018,641.81,1589.85,1414.05,21.61,553.99,2388.04,9045.52,47.29,522.18,2388.06,8134.63,8.3987,393,38.89,23.3115
25,5,0.0009,641.95,1580.75,1401.5,21.61,553.65,2388.08,9052.95,47.48,522.04,2388.07,8135.85,8.3729,392,39.08,23.2902
25,6,-0.0002,642.37,1585.64,1397.2,21.61,553.81,2388.04,9048.63,47.29,521.72,2388.09,8128.35,8.4067,391,38.94,23.4426
25,7,-0.0027,642.35,1587.88,1402.46,21.61,554.04,2388.08,9049.42,47.32,521.76,2388.05,8132.78,8.4355,392,38.85,23.336
25,8,0.0029,642.95,1587.05,1405.34,21.61,553.86,2388.06,9044.46,47.29,521.56,2388.06,8131.99,8.4252,392,38.86,23.3759
25,9,-0.0027,642.23,1586.37,1408.06,21.61,554.21,2388.05,9047.12,47.34,522.03,2388.06,8135.38,8.3868,392,38.79,23.3916
25,10,0.0024,641.91,1587.12,1405.05,21.61,553.26,2388.1,9054.0,47.47,521.45,2388.11,8130.43,8.3876,394,39.01,23.405
25,11,-0.0022,641.88,1592.3,1405.2,21.61,554.02,2388.06,9046.05,47.49,521.9,2388.05,8132.35,8.4479,391,38.99,23.3391
25,12,0.003,642.62,1586.95,1409.3,21.61,554.32,2388.08,9051.18,47.38,521.94,2388.1,8127.53,8.4065,393,38.9,23.3473
25,13,-0.001,642.37,1592.49,1396.43,21.61,554.42,2388.02,9051.23,47.41,521.83,2388.08,8134.71,8.3848,391,38.93,23.44
25,14,-0.0006,642.51,1588.0,1403.14,21.61,554.22,2388.06,9051.83,47.31,521.74,2388.09,8126.75,8.4252,393,38.89,23.5635
25,15,-0.0028,642.38,1593.04,1398.54,21.61,553.93,2388.07,9045.81,47.25,522.49,2388.09,8129.13,8.3961,393,38.92,23.2945
25,16,-0.0013,642.62,1586.27,1403.24,21.61,554.54,2388.07,9052.41,47.07,522.07,2388.08,8128.61,8.3862,391,38.95,23.474
25,17,0.0007,642.81,1582.87,1397.23,21.61,553.95,2388.05,9052.9,47.23,522.13,2388.07,8131.98,8.3876,392,39.12,23.422
25,18,-0.0001,641.99,1586.76,1408.19,21.61,553.18,2388.11,9048.89,47.42,521.62,2388.14,8134.93,8.3924,391,38.72,23.2587
25,19,0.0021,642.63,1581.37,1404.06,21.61,553.5,2388.04,9043.57,47.4,522.19,2388.1,8125.87,8.4553,393,38.98,23.333
25,20,0.0004,642.23,1581.28,1399.15,21.6,553.9,2388.08,9050.76,47.17,522.32,2388.02,8133.99,8.429,392,38.8,23.4868
25,21,-0.0,642.51,1585.74,1402.77,21.61,554.12,2387.99,9047.93,47.36,521.95,2388.05,8132.3,8.4345,392,38.71,23.4758
25,22,-0.0015,642.31,1579.21,1396.44,21.61,553.9,2388.0,9052.65,47.44,522.25,2388.1,8131.98,8.4142,390,38.67,23.4002
25,23,-0.0027,642.16,1589.58,1402.25,21.61,554.4,2388.05,9052.79,47.24,521.89,2388.03,8130.8,8.4244,391,38.89,23.3354
25,24,-0.0008,642.09,1580.1,1399.91,21.61,553.68,2388.07,9047.19,47.36,521.2,2388.08,8130.19,8.3971,394,38.9,23.381
25,25,-0.0004,642.78,1586.95,1397.39,21.61,553.89,2388.1,9046.38,47.36,521.68,2388.07,8129.33,8.4174,394,38.95,23.3854
25,26,0.0011,642.36,1586.25,1406.86,21.61,554.32,2388.04,9048.2,47.27,521.84,2388.05,8136.74,8.428,392,38.91,23.3748
25,27,0.0031,641.8,1587.46,1397.23,21.61,554.36,2388.08,9049.96,47.41,522.08,2388.03,8135.71,8.4039,393,38.92,23.4579
25,28,-0.0006,642.31,1585.86,1393.76,21.61,553.63,2388.11,9044.73,47.44,521.99,2388.03,8135.37,8.3901,392,38.73,23.3481
25,29,0.006,642.16,1586.24,1400.45,21.61,554.56,2388.02,9045.56,47.16,521.59,2388.06,8134.9,8.4044,391,38.93,23.4809
25,30,-0.0004,642.35,1587.75,1398.65,21.61,554.29,2387.99,9050.5,47.36,521.8,2388.1,8135.63,8.4122,392,38.87,23.3551
25,31,-0.0001,642.39,1593.73,1398.24,21.61,554.02,2388.05,9048.99,47.43,521.82,2388.09,8136.66,8.4248,392,38.97,23.2728
25,32,0.0019,642.29,1588.24,1405.49,21.61,553.59,2388.05,9049.49,47.45,522.05,2388.04,8132.9,8.4158,393,39.08,23.3209
25,33,-0.0,641.71,1587.58,1398.3,21.61,553.96,2388.06,9051.12,47.36,521.79,2388.04,8127.46,8.4316,393,39.02,23.3396
